Carex cephalophora,DQ006089.1,
Carex chordorrhiza,FJ548256.1,
Carex communis,KJ593266.1,
Carex comosa,KJ841167.1,
Carex conjuncta,,
Carex conoidea,,
Carex crawei,,
Carex crawfordii,,
Carex crinita,KJ593268.1,
Carex cristatella,HQ589993.1,
Carex crus-corvi,,
Carex cryptolepis,,
Carex cumulata,,
Carex davisii,,
Carex debilis,HM849850.1,
Carex deweyana,HQ589994.1,
Carex diandra,KC482264.1,
Carex digitalis,KJ773343.1,
Carex disperma,KJ841173.1,
Carex duriuscula,,
Carex eburnea,,
Carex echinata,HM849852.1,
Carex emmonsii,,
Carex emoryi,,
Carex festucacea,,
Carex flava,,
Carex folliculata,,
Carex formosa,,
Carex frankii,KJ773346.1,
Carex garberi,KC482272.1,
Carex glaucodea,,
Carex gracilescens,,
Carex gracillima,KJ593272.1,
Carex granularis,HQ589995.1,
Carex gravida,,
Carex grayi,,
Carex grisea,,
Carex haydenii,,
Carex hirsutella,,
Carex hirta,KJ841178.1,
Carex hirtifolia,HQ589996.1,
Carex hitchcockiana,,
Carex hystericina,HQ589998.1,
Carex interior,HQ589999.1,
Carex intumescens,KJ773351.1,
Carex jamesii,,
Carex lacustris,,
Carex laeviconica,,
Carex laevivaginata,,
Carex lasiocarpa,JX644625.1,
Carex laxiculmis,,
Carex laxiflora,HQ590002.1,
Carex leavenworthii,,
Carex leptalea,KJ773353.1,
Carex leptonervia,KJ593276.1,
Carex limosa,JX644630.1,
Carex longii,KJ773354.1,
Carex lupuliformis,KJ773355.1,
Carex lupulina,KJ773356.1,
Carex lurida,KJ773357.1,
Carex meadii,,
Carex mesochorea,,
Carex molesta,,
Carex muehlenbergii,,
Carex muskingumensis,,
Carex nebrascensis,,
Carex nigromarginata,,
Carex normalis,,
Carex oligocarpa,DQ006090.1,
Carex oligosperma,,
Carex pallescens,KJ841191.1,
Carex pauciflora,GQ469850.1,
Carex peckii,KJ841192.1,
Carex pedunculata,HQ590005.1,
Carex pellita,,
Carex pensylvanica,HQ590007.1,
Carex plantaginea,HQ590008.1,
Carex platyphylla,KJ841198.1,
Carex praegracilis,,
Carex prairea,,
Carex prasina,KJ841199.1,
Carex praticola,,
Carex projecta,KF977472.1,
Carex pseudocyperus,KJ841201.1,
Carex radiata,KJ841204.1,
Carex retrorsa,HQ590010.1,
Carex richardsonii,,
Carex rosea,HQ590012.1,
Carex rugosperma,KJ841211.1,
Carex sartwellii,,
Carex scabrata,HQ590013.1,
Carex scoparia,,
Carex seorsa,,
Carex shortiana,,
Carex siccata,JX848454.1,
Carex sparganioides,HQ590014.1,
Carex spicata,JN893600.1,
Carex sprengelii,HQ590015.1,
Carex squarrosa,,
Carex sterilis,,
Carex stipata,KJ773358.1,
Carex straminea,,
Carex stricta,,
Carex suberecta,,
Carex swanii,,
Carex tenera,KJ841210.1,
Carex tenuiflora,JX644649.1,
Carex tetanica,,
Carex texensis,,
Carex tonsa,KJ841211.1,
Carex torreyi,,
Carex torta,,
Carex tribuloides,KJ841214.1,
Carex trichocarpa,,
Carex trisperma,KJ841215.1,
Carex tuckermanii,,
Carex typhina,,
Carex utriculata,KJ841217.1,
Carex vaginata,KC482387.1,
Carex vesicaria,KJ841218.1,
Carex virescens,,
Carex viridula,HM849865.1,
Carex vulpinoidea,HQ590018.1,
Carex woodii,KJ593288.1,
Carex x,,
Carpinus caroliniana,X56621.1,
Carthamus tinctorius,L13862.1,
Carum carvi,KJ667630.1,
Carya cordiformis,HQ590021.1,
Carya laciniosa,,
Carya ovalis,AF119186.1,
Carya ovata,AY263931.1,
Carya tomentosa,,
Castanea dentata,KF418892.1,
Castilleja coccinea,,
Castilleja sessiliflora,,
Catalpa speciosa,HE963393.1,
Caulophyllum thalictroides,AF190442.1,
Ceanothus americanus,KC539681.1,
Ceanothus herbaceus,,
Celastrus orbiculatus,AJ235775.1,
Celastrus scandens,AY788195.1,
Celosia argentea,AY270072.1,
Celtis occidentalis,KC539683.1,
Celtis tenuifolia,,
Cenchrus longispinus,,
Centaurea calcitrapa,,
Centaurea cyanus,AB530955.1,
Centaurea diffusa,,
Centaurea jacea,HQ590025.1,
Centaurea montana,,
Centaurea nigra,KM360702.1,
Centaurea nigrescens,HG416982.1,
Centaurea phrygia,,
Centaurea stoebe,KJ746252.1,
Centaurium erythraea,HM849874.1,
Centaurium pulchellum,HM849876.1,
Cephalanthus occidentalis,X83629.1,
Cerastium brachypodum,,
Cerastium fontanum,KM360705.1,
Cerastium glomeratum,HM849882.1,
Cerastium nutans,,
Cerastium pumilum,JN892005.1,
Cerastium semidecandrum,JN892588.1,
Cerastium tomentosum,KF997321.1,
Cerastium velutinum,,
Ceratophyllum demersum,AB917052.1,
Ceratophyllum echinatum,,
Cercis canadensis,U74188.1,
Chaenorrhinum minus,KM360709.1,
Chaerophyllum procumbens,KF613027.1,
Chaiturus marrubiastrum,,
Chamaecrista fasciculata,U74187.1,
Chamaecrista nictitans,AM234248.1,
Chamaedaphne calyculata,L12606.2,
Chamaemelum nobile,HM849885.1,
Chamaesyce geyeri,,
Chamaesyce glyptosperma,,
Chamaesyce humistrata,,
Chamaesyce maculata,JX664045.1,
Chamaesyce nutans,HM849991.1,
Chamaesyce polygonifolia,,
Chamaesyce prostrata,HM849994.1,
Chamaesyce serpens,,
Chamaesyce serpyllifolia,HQ590027.1,
Chamaesyce vermiculata,,
Chamerion angustifolium,KM360765.1,
Chasmanthium latifolium,U31101.1,
Chelidonium majus,KM360713.1,
Chelone glabra,HQ384895.1,
Chelone obliqua,AF026824.1,
Chenopodium album,JX848451.1,
Chenopodium bonus-henricus,AY270079.1,
Chenopodium capitatum,JN965448.1,
Chenopodium glaucum,JF941276.1,
Chenopodium leptophyllum,,
Chenopodium murale,HM849890.1,
Chenopodium rubrum,JN892909.1,
Chenopodium simplex,HQ590032.1,
Chenopodium standleyanum,,
