Fraxinus nigra,56031
Fraxinus pennsylvanica,56036
Fraxinus profunda,757440
Fraxinus quadrangulata,56032
Froelichia floridana,46114
Fuirena pumila,906954
Galearis spectabilis,256339
Galium aparine,29788
Galium asprellum,1503868
Galium boreale,35896
Galium brevipes,not found
Galium circaezans,715667
Galium concinnum,1405026
Galium labradoricum,not found
Galium lanceolatum,932101
Galium obtusum,792624
Galium pilosum,715705
Galium tinctorium,715720
Galium trifidum,669698
Galium triflorum,715723
Gaultheria hispidula,157511
Gaultheria procumbens,157519
Gaura biennis,260689
Gaura longiflora,260694
Gaylussacia baccata,128893
Gentiana alba,not found
Gentiana andrewsii,932102
Gentiana puberulenta,not found
Gentiana saponaria,984480
Gentianella quinquefolia,137117
Gentianopsis crinita,84894
Gentianopsis virgata,not found
Geranium bicknellii,379936
Geranium carolinianum,554690
Geranium maculatum,not found
Geranium robertianum,122183
Geum aleppicum,714473
Geum canadense,350588
Geum laciniatum,not found
Geum rivale,148897
Geum triflorum,148890
Geum vernum,148900
Geum virginianum,not found
Gleditsia triacanthos,54874
Glyceria borealis,37676
Glyceria canadensis,388677
Glyceria grandis,79847
Glyceria septentrionalis,388684
Glyceria striata,37677
Goodyera pubescens,78780
Gratiola aurea,438840
Gratiola neglecta,307731
Gratiola quartermaniae,not found
Gratiola virginiana,307729
Gymnocarpium dryopteris,32116
Gymnocladus dioicus,53883
Hackelia virginiana,1452876
Hamamelis virginiana,4397
Hedeoma hispida,not found
Hedeoma pulegioides,1547260
Helenium autumnale,138408
Helianthemum bicknellii,not found
Helianthemum canadense,1085672
Helianthus decapetalus,73283
Helianthus divaricatus,73285
Helianthus giganteus,73288
Helianthus grosseserratus,73291
Helianthus hirsutus,73293
Helianthus mollis,73299
Helianthus occidentalis,73303
Helianthus pauciflorus,382521
Helianthus strumosus,382522
Helianthus subrhomboideus,not found
Helianthus tuberosus,4233
Helianthus x,not found
Heliopsis helianthoides,53723
Hepatica acutiloba,387276
Hepatica americana,46980
Heracleum maximum,40918
Heserostipa spartea,not found
Heteranthera dubia,44955
Heuchera americana,100307
Heuchera richardsonii,423499
Hibiscus laevis,241595
Hibiscus moscheutos,241598
Hieracium gronovii,378948
Hieracium longipilum,122536
Hieracium paniculatum,883012
Hieracium scabrum,269357
Hieracium umbellatum,268065
Hierochloe odorata,286619
Hippuris vulgaris,39321
Houstonia caerulea,120133
Houstonia longifolia,60373
Hudsonia tomentosa,255346
Humulus lupulus,3486
Huperzia lucidula,37429
Huperzia porophila,not found
Hybanthus concolor,97458
Hydrangea arborescens,96933
Hydrastis canadensis,13569
Hydrocotyle umbellata,1475409
Hydrophyllum appendiculatum,not found
Hydrophyllum canadense,85212
Hydrophyllum virginianum,4134
Hymenopappus scabiosaeus,1620118
Hypericum adpressum,268975
Hypericum ascyron,210378
Hypericum boreale,282535
Hypericum canadense,1136960
Hypericum fraseri,999596
Hypericum gentianoides,1136978
Hypericum gymnanthum,1053356
Hypericum kalmianum,473045
Hypericum majus,1321336
Hypericum mutilum,330172
Hypericum prolificum,269015
Hypericum punctatum,269017
Hypericum sphaerocarpum,269020
Hypericum virginicum,198791
Hypoxis hirsuta,142856
Ilex verticillata,185559
