TRANSECT STRING,
    QUAD,9
ACRONYM,COVER
ARITRI,2
ASTLAT,10
ASTSHO,8
CIRLUC,5
CORRAC,5
GERMAC,1
HELAUT,30
HYPPUN,2
IMPCAP,3
LEEVIR,2
OXAEUR,1
POTSIS,5
RANSEP,20
RHAFRA,5
RIBAME,2
RUBIDS,15
RUDTRI,1
SMIECI,1
SOLALT,20
SOLULM,25
VIOPUB,1
ZIZAUR,1
>,
    QUAD,10
ACRONYM,COVER
ARITRI,2
ASTMAC,1
CIRLUC,5
FRAVIR,1
GERMAC,1
GEUCAN,3
HERMAX,2
IMPCAP,5
POLGVI,30
POTSIS,1
RHACAT,20
RUBIDS,5
SOLALT,20
SOLFLE,40
THADAD,10
>,
    QUAD,11
ACRONYM,COVER
ASTLAT,25
CAROVT,5
CIRLUC,5
CORRAC,10
FRAVIR,5
HELAUT,30
HELHIR,20
MALSIE,5
OXAEUR,2
POLGVI,5
POTSIS,10
PREALB,5
RHAFRA,1
RHURAD,1
RUBIDS,50
SMIRAC,3
SOLALT,5
SPHINT,2
TRIPER,10
VIOSOR,2
>,
    QUAD,12
ACRONYM,COVER
ANDGER,15
ARITRI,2
ASTLAT,10
ASTSAD,1
ASTSHO,1
CIRALT,50
CORRAC,2
CXPENS,15
FRAVIR,1
GERMAC,3
HELHIR,10
IMPCAP,1
MONFIS,5
OXAEUR,2
PENDIG,2
POTSIS,2
RHACAT,5
RUBFLA,15
RUBIDS,5
RUBOCC,2
RUDSUB,5
SMISTE,1
SOLALT,15
SOLGRN,2
SOLJUN,1
THADAD,5
ZIZAUR,4
>,
    QUAD,13
ACRONYM,COVER
ALLCAN,1
ALLCER,2
ALLTRT,1
ARITRI,1
ASTSHO,1
CIRARV,1
DESPAN,2
GERMAC,2
GEUCAN,2
HELHIR,25
MALSIE,2
PARINT,6
PREALB,2
RANREC,2
RUBFLA,15
SMIECI,1
SMIRAC,1
SOLALT,20
SOLULM,10
THADAD,5
TRIPER,15
ZIZAUR,5
>,
    QUAD,14
ACRONYM,COVER
ALLCER,2
AMPBRB,8
ASTLAT,10
CIRLUC,10
DIOVIL,15
HELHIR,5
IMPCAP,2
OXYRIG,5
PENDIG,2
POLGVI,5
POTSIS,10
RANREC,8
RUBIDS,3
SANCAD,1
SMIECI,2
SOLALT,35
SOLULM,10
THADAD,2
ZIZAUR,2
>,
    QUAD,15
ACRONYM,COVER
ASTLAT,8
ASTSAD,1
ASTSHO,8
BIDFRO,1
BROPUB,2
CIRLUC,5
CXBLAN,1
EUPMAM,50
IMPCAP,10
LEEVIR,3
POLGVI,2
POTSIS,2
SOLALT,35
SOLJUN,2
SOLULM,8
THADAD,2
>,
    QUAD,16
ACRONYM,COVER
ALLCAN,1
ARIDRA,2
ASTLAT,5
ASTSHO,5
BIDFRO,5
BROPUB,2
CXBLAN,10
CXPENS,15
GEUCAN,4
HERMAX,1
HYSPAT,1
IMPCAP,1
LEEVIR,3
MENCAN,2
PANIMP,1
POLPUN,1
PRUVLA,3
RHACAT,15
SOLJUN,5
SOLULM,2
VITRIP,2
>,
    QUAD,17
ACRONYM,COVER
ALLCAN,1
ALLCER,3
ARITRI,2
ASTSAD,4
CIRDIS,2
CIRLUC,3
EUPPUR,25
GEUCAN,3
HELHEL,10
HYPPUN,2
MONFIS,3
OXAEUR,1
PANIMP,1
PENDIG,3
RHACAT,5
RUBOCC,20
SMIECI,2
SMILAS,3
SMIRAC,1
SOLALT,10
SOLULM,5
TRAOHI,1
VERFAS,30
VIOSOR,3
>,
    QUAD,18
ACRONYM,COVER
ALLCAN,1
CORRAC,10
FRAPES,30
GALOBT,1
GEUCAN,2
HELGRO,10
JUNDUD,1
LYCAME,3
RHACAT,90
ROSPAL,5
SENPAU,10
SOLALT,10
SOLGRN,10
SPAPEC,5
ULMAME,1
>,
    QUAD,19
ACRONYM,COVER
ANDGER,5
ERYYUC,10
EUPPUR,5
FRAVIR,3
HELHIR,30
MONFIS,15
OXAEUR,1
PENDIG,2
POPTRE,5
RATPIN,5
RHACAT,2
RUBIDS,2
SOLALT,50
SOLGRN,5
SORNUT,10
TRAOHI,10
>,
    QUAD,20
ACRONYM,COVER
ALLCAN,1
ARIDRA,2
ARITRI,2
ASTSAD,2
BROPUB,3
CIRARV,3
EUPMAM,15
FRAVIR,2
GEUCAN,8
RUBFLA,15
RUBOCC,5
SANCAD,1
SMIECI,2
SOLALT,20
SOLULM,15
>,
    QUAD,21
ACRONYM,COVER
ALLCAN,1
ASTSAD,3
ASTSHO,3
CIRLUC,1
EUPPUR,3
FESOBT,1
GEUCAN,10
IMPCAP,1
OSTVIR,15
RANREC,2
RHACAT,3
RHAFRA,1
RUBFLA,5
SILSTE,2
SMIECI,1
SMIRAC,1
SOLALT,2
SOLCAE,3
SOLULM,30
TAEINT,2
ULMAME,2
ZIZAUR,2
>,
    QUAD,22
ACRONYM,COVER
ALLCAN,1
ARITRI,2
ASTLAT,4
ASTMAC,2
ASTSAD,3
CIRALT,5
CIRARV,2
EUPPUR,3
EUPRUG,8
GEUCAN,8
PRUVLA,2
QUECOC,1
RUBFLA,3
RUBOCC,5
SMIECI,2
SMILAS,4
SMIRAC,2
SOLALT,20
SOLGRN,2
SOLJUN,15
SOLULM,35
TAROFF,2
VIOSOR,3
>,
    QUAD,23
ACRONYM,COVER
ALLCER,2
ARITRI,30
CIRLUC,2
FRAVIR,1
HELHIR,8
JUNTEN,1
PENDIG,3
POACOM,2
POTSIS,2
RHACAT,20
RUBFLA,10
RUDSUB,30
SMILAS,3
SMIRAC,1
SOLALT,35
SOLJUN,20
SOLULM,20
TAEINT,3
TAROFF,2
VITRIP,8
ZIZAUR,3
>,
    QUAD,24
ACRONYM,COVER
ASTLAT,2
CIRLUC,5
FRAVIR,2
GENFLA,8
LYCALB,1
LYCAME,1
MONFIS,5
RHACAT,15
RUBOCC,20
SOLALT,20
SOLGRN,4
SOLJUN,4
SOLULM,3
THADAD,1
>,
    QUAD,25
ACRONYM,COVER
ALLTRT,1
ARITRI,1
ASTSAD,1
CIRLUC,5
GEUCAN,2
HYPPER,2
PARINS,2
POTSIS,4
RHACAT,30
RUBIDS,10
RUBOCC,5
SMIECI,1
SMIRAC,1
SOLALT,8
>,
    QUAD,26
ACRONYM,COVER
LONTAT,5
PRUVIR,10
RHACAT,2
