taxon,rbcL,matK,ITS,trnL-trnF
Malus prunifolia,JQ391367.1,JQ391019.1,JQ392463.1,JQ392288.1
Malus pumila,JQ391355.1,JQ391010.1,EF525566.1,JQ392306.1
Malus toringa,,,,
Malus x,,,,
Malva alcea,GQ248640.1,,EF419493.1,EF419746.1
Malva moschata,KJ204372.1,EU346792.1,EF419496.1,KM385498.1
Malva neglecta,HQ590176.1,EU346788.1,EF419479.1,EF419702.1
Malva parviflora,HM850158.1,,GQ478097.1,EF419696.1
Malva rotundifolia,,,,
Malva sylvestris,KM360873.1,EU346787.1,EF419482.1,KM385499.1
Malva verticillata,JQ933397.1,EU346789.1,EF419487.1,EF419703.1
Malvastrum hispidum,,,,
Marrubium vulgare,Z37412.1,,KJ021874.1,EU138366.1
Matricaria chamomilla,KJ751269.1,JN894233.1,KC816562.1,
Matricaria discoidea,HM850160.1,HM850671.1,EU179213.1,
Matteuccia struthiopteris,AB232415.1,JF303936.1,,KC254425.1
Matthiola incana,HM850161.1,AF144361.1,KF022689.1,KF022853.1
Mazus miquelii,,,LC027734.1,
Mazus pumilus,FJ172728.1,HM850959.1,FJ172737.1,FJ172686.1
Medeola virginiana,D28158.1,,,AY699226.1
Medicago lupulina,KM360875.1,KC333395.1,DQ311980.1,JQ041869.1
Medicago sativa,X04975.1,AF169289.1,AF053142.1,GQ488614.1
Melampyrum lineare,AF026834.1,,,AF482608.1
Melica mutica,HQ713389.1,HM352811.1,,
Melica nitens,,,,
Melilotus albus,DQ006095.1,,DQ311984.1,AB546813.1
Melilotus altissimus,JN890824.1,JN894066.1,,
Melilotus officinalis,KM360878.1,HM049529.1,DQ311985.1,AB546812.1
Melissa officinalis,KP172046.1,KJ196364.1,DQ667291.1,DQ667477.1
Menispermum canadense,AF190437.1,,,JN051771.1
Mentha aquatica,GU344680.1,KC584934.1,KF735667.1,AY618512.1
Mentha arvensis,HQ590183.1,JN896123.1,KC591661.1,DQ667514.1
Mentha spicata,KP172039.1,GU381684.1,DQ667244.1,AY570461.1
Mentha suaveolens,KP172040.1,GU381685.1,AY506645.1,AJ505541.1
Mentha x,,,,
Mentzelia decapetala,U17877.1,AY254076.1,HM357372.1,AY254264.1
Mentzelia nuda,,,HM357424.1,AY254277.1
Menyanthes trifoliata,KM192096.1,EF173062.1,DQ276850.1,KM191908.1
Mertensia virginica,EU599837.1,JQ388543.1,JQ388514.1,KF417025.1
Mikania scandens,KJ773685.1,KJ772944.1,JQ692096.1,
Milium effusum,HQ600468.1,AM234598.1,KC986378.1,EF137612.1
Mimulus alatus,,,,
Mimulus glabratus,,,AY575445.1,AY575538.1
Mimulus ringens,KM212146.1,KM212090.1,AY575454.1,AY575546.1
Minuartia michauxii,,,,
Minuartia patula,,,,
Mirabilis albida,,,EF079451.1,
Mirabilis hirsuta,,,EF079451.1,
Mirabilis jalapa,M62565.1,JQ844140.1,EU410354.1,
Mirabilis linearis,,,,
Mirabilis nyctaginea,KF724209.1,AY042624.1,,
Miscanthus sacchariflorus,KF163521.1,KF163740.1,HQ822019.1,AB622630.1
Miscanthus sinensis,EF125118.1,EU434296.1,KM241810.1,JN544265.1
Mitchella repens,JX412473.1,,AF072019.1,JX412390.1
Mitella diphylla,HQ590185.1,AB492649.1,AB248860.1,
Mitella nuda,HQ590186.1,AB116690.1,AB163495.1,
Moehringia lateriflora,JN965680.1,,JX274536.1,FJ405000.1
Mollugo verticillata,M62566.1,JQ844142.1,EU434729.1,FJ405003.1
Monarda bradburiana,,AY840163.1,AF369193.1,GU381582.1
Monarda citriodora,JX254905.1,,JQ669124.1,JF301388.1
Monarda clinopodia,,,AF369190.1,
Monarda didyma,Z37418.1,,AF369195.1,
Monarda fistulosa,Z37419.1,GU381745.1,DQ667318.1,DQ667506.1
Monarda punctata,KJ773690.1,KJ772949.1,AF369183.1,
Monolepis nuttalliana,JX848452.1,HE855621.1,HE577375.1,HE577515.1
Monotropa hypopithys,KF997344.1,AF440421.1,JF441053.1,
Monotropa uniflora,,,AB600869.1,
Morella cerifera,AF119179.1,U92857.1,AJ626771.1,DQ501440.1
Morus alba,L01933.2,AY257531.1,KF784895.1,AB685328.1
Morus rubra,U06812.1,,HQ144183.1,KC539716.1
Muhlenbergia asperifolia,,,HM143048.1,
Muhlenbergia bushii,,,,
Muhlenbergia cuspidata,JX848502.1,,HM143055.1,
Muhlenbergia frondosa,,,,
Muhlenbergia glabrifloris,,,,
Muhlenbergia glomerata,,,,
Muhlenbergia mexicana,KJ841423.1,,HM143091.1,
Muhlenbergia racemosa,AJ784836.1,,GU359114.1,
Muhlenbergia schreberi,KJ773693.1,JF729130.1,GU359161.1,GQ397956.1
Muhlenbergia sobolifera,,,HM143118.1,GQ397960.1
Muhlenbergia sylvatica,,AF312355.1,,
Muhlenbergia tenuiflora,,,HM143126.1,
Mulgedium pulchellum,JX848420.1,,,
Muscari botryoides,,,,AJ232668.1
Muscari racemosum,,,AM117017.1,
Myosotis arvensis,HM850186.1,EU599671.1,AY092908.1,KF288086.1
Myosotis laxa,HQ590187.1,AY092865.1,JX128892.1,GQ285262.1
Myosotis scorpioides,GU344681.1,JN895929.1,EU594655.1,
Myosotis stricta,HM850191.1,AY092886.1,,
Myosotis sylvatica,HE574616.1,AY092887.1,JX128893.1,
Myosotis verna,,AY092888.1,AY092936.1,
Myosoton aquaticum,KM360890.1,FJ404855.1,AY594303.1,FJ405004.1
Myosurus minimus,DQ099441.1,FJ626502.1,AJ347913.1,AJ413305.1
Myriophyllum heterophyllum,KJ773696.1,AY335983.1,EF526366.1,HQ605735.1
Myriophyllum hippuroides,,FJ870939.1,HQ605762.1,HQ605743.1
Myriophyllum pinnatum,,FJ890498.1,HQ605757.1,
Myriophyllum sibiricum,L11195.2,EF178980.1,FJ426356.1,
Myriophyllum spicatum,GU344679.1,EF178976.1,EF526362.1,
Myriophyllum verticillatum,GU344678.1,EF178983.1,AF513837.1,
Nabalus albus,KJ593635.1,,HQ162006.1,
Nabalus altissimus,HQ590223.1,HQ593399.1,HQ161972.1,
Nabalus asperus,,,,
Nabalus crepidineus,,,HQ161985.1,
Nabalus racemosus,,,HQ162009.1,
Najas flexilis,KM502138.1,KM501921.1,KM501775.1,
Najas guadalupensis,DQ859169.1,HM240466.1,KM501787.1,
Najas marina,U80705.1,HM240477.1,HM240445.1,
Najas minor,AB004899.1,HM240480.1,JF975449.1,
Napaea dioica,,,AJ304940.1,
Narcissus pseudo-narcissus,JN890813.1,,JX464294.1,AY357175.1
Narcissus x,,,,
Nassella viridula,JX848504.1,HE573935.1,FN434608.1,
Nasturtium officinale,HM850197.1,,X98645.1,AY030271.1
Nelumbo lutea,DQ182337.1,EU642710.1,AY858639.1,AY145359.1
Nemopanthus mucronatus,X69747.1,,AJ275336.1,
Nepeta cataria,Z37421.1,HQ593369.1,AJ515313.1,DQ667487.1
Neslia paniculata,DQ310541.1,,DQ310524.1,DQ310518.1
Nicandra physalodes,U08615.1,EF438923.1,DQ314155.1,EU581032.1
Nicotiana longiflora,,AB040002.1,AJ492385.1,
Nicotiana rustica,,,AJ492415.1,
Nigella damascena,EU053918.1,,EU699446.1,AY150260.1
Nothocalais cuspidata,,,AY218966.1,
Nothoscordum bivalve,Z69202.1,JX903549.1,KF171079.1,KF550182.1
Nuphar advena,DQ069501.1,DQ185531.1,FM242145.1,AY145331.1
Nuphar variegata,M77029.1,,AF067579.1,
Nuttallanthus canadensis,KJ773632.1,KJ772895.1,AY883085.1,
Nymphaea odorata,M77034.1,DQ185549.1,EF526404.1,LN590035.1
Nyssa sylvatica,AF119178.1,,EU734438.1,EU734492.1
Oenanthe javanica,KF496630.1,,JX962348.1,
Oenothera biennis,KM218350.1,HQ593370.1,DQ006021.1,AY264553.1
Oenothera clelandii,,,GU176542.1,GU176574.1
Oenothera fruticosa,,,AY271581.1,AY264569.1
Oenothera glazioviana,KM360901.1,HM851006.1,GU176543.1,GU176575.1
Oenothera grandis,,,GU176544.1,GU176576.1
Oenothera laciniata,KJ773700.1,KJ772960.1,JX975691.1,AY264549.1
Oenothera nuttallii,,,DQ075629.1,DQ075659.1
Oenothera perennis,KJ135372.1,KM212092.1,GU176555.1,GU176587.1
Oenothera pilosella,KJ135375.1,,,KJ135361.1
Oenothera rhombipetala,,,GU176560.1,GU176592.1
Oenothera speciosa,AB516355.1,KJ772961.1,AJ620541.1,AY264565.1
Oenothera villosa,,,GU176566.1,GU176598.1
Onoclea sensibilis,JF832076.1,JF303935.1,,
Ononis campestris,,,,
Onopordum acanthium,KM360904.1,KC969528.1,FJ007882.1,AF129833.1
Onosmodium hispidissimum,,,,
Ophioglossum pusillum,AY138413.1,,,AY138449.1
Opuntia humifusa,KJ773703.1,KJ735949.1,KJ735931.1,KJ735940.1
Opuntia macrorhiza,,JF786802.1,JF786960.1,JF712775.1
Orbexilum onobrychis,,EF549965.1,EF517868.1,EF543378.1
Orbexilum pedunculatum,KJ773706.1,EF549950.1,EF517903.1,EF543363.1
Origanum vulgare,HM850213.1,GU381802.1,DQ667243.1,JQ690292.1
Ornithogalum umbellatum,KF997468.1,,AB305009.1,JX090578.1
Orobanche fasciculata,U73970.2,AF051994.1,KC480371.1,
Orobanche uniflora,AY582180.1,AF051996.1,AY209297.1,
Orthilia secunda,KC483218.1,JN966389.1,KF963969.1,FJ357291.1
Oryzopsis asperifolia,HQ590193.1,HQ593373.1,GU254653.1,GU192007.1
Oryzopsis pungens,,JF697831.1,JF697730.1,JF697781.1
Oryzopsis racemosa,KJ841447.1,,EU194778.1,EU200914.1
Osmorhiza claytonii,JF942712.1,,AF453969.1,AF432009.1
Osmorhiza longistylis,DQ006051.1,,DQ005965.1,AF432015.1
Osmunda cinnamomea,EF588711.1,EU223823.1,,EF588820.1
Osmunda claytoniana,EF588700.1,,,EF588810.1
Osmunda spectabilis,,,,
Ostrya virginiana,X56620.1,AY212009.1,FJ011758.1,AY211425.1
Oxalis corniculata,JN587331.1,,EU436867.1,EU437088.1
Oxalis stricta,KC481641.1,AY935936.1,EU436869.1,EU437035.1
Oxalis violacea,EF590553.1,,JN618570.1,JN639588.1
Oxydendrum arboreum,AF124583.1,AF124562.1,HM182084.1,
Oxypolis rigidior,,,EF647802.1,
Pachysandra terminalis,KM360912.1,AF542581.2,AF245430.1,AM397167.1
Packera aurea,KJ841440.1,KJ840955.1,AF459959.1,KF584254.1
Packera glabella,KJ773710.1,KJ772971.1,KJ418349.1,
Packera obovata,,,KJ418346.1,
Packera paupercula,JN965703.1,JN966397.1,KJ418343.1,
Packera plattensis,,,KJ418342.1,
Packera pseudaurea,,,,
Panax quinquefolius,U50250.1,AB088001.1,FJ606755.1,AY393751.1
Panax trifolius,HQ112614.1,KM210137.1,HQ112446.1,GU055176.1
Panicum capillare,AM849355.1,AF164423.1,AY129700.1,JQ041847.1
Panicum dichotomiflorum,KJ773713.1,,AY129706.1,
Panicum flexile,HQ713390.1,,,
Panicum gattingeri,,,,
Panicum miliaceum,AM849333.1,,KC201681.1,JQ972957.1
Panicum philadelphicum,,,,
Panicum verrucosum,HE573423.1,HE574115.1,,
Panicum virgatum,EF125135.1,FR821331.1,AM404348.1,EU434102.1
Papaver rhoeas,FJ626614.1,,FJ469600.1,AY328240.1
Papaver somniferum,HM850232.1,JN895410.1,JN584660.1,AY328242.1
Parietaria pensylvanica,AF500357.1,,,AF501611.1
Parnassia glauca,AY935729.1,AY935908.1,EU328691.1,AY935763.1
Paronychia canadensis,DQ006082.1,JN589279.1,DQ005995.1,JN589720.1
Paronychia fastigiata,,,AJ310962.1,
Parthenium hysterophorus,AY215155.1,AY215837.1,EF108403.1,AY216215.1
Parthenium integrifolium,,,,
Parthenocissus inserta,KM360918.1,HQ593380.1,,AB235035.1
Parthenocissus quinquefolia,AJ402985.1,JQ844151.1,,JX144435.1
Parthenocissus tricuspidata,KP088704.1,,,AB235042.1
Pascopyrum smithii,JX848505.1,,GU557082.1,
Paspalum laeve,KJ773723.1,KJ772981.1,,
Paspalum setaceum,KJ773725.1,KJ772984.1,,EU627501.1
Pastinaca sativa,KM360919.1,U58573.1,KJ157635.1,KJ157767.1
Pedicularis canadensis,KM212149.1,HG423909.2,HG424091.1,
Pedicularis lanceolata,,HG423968.1,HG424149.1,
Pediomelum argophyllum,JX848465.1,,EF517892.1,EF543402.1
Pellaea glabella,KF186507.1,,,DQ914185.1
Peltandra virginica,AM905815.1,EU886583.1,,AY054707.1
Penstemon calycosus,,,,
Penstemon cobaea,,,DQ534933.1,
Penstemon digitalis,HQ590202.1,,DQ531083.1,
Penstemon gracilis,JX848481.1,,DQ531102.1,
Penstemon grandiflorus,,,DQ534939.1,
Penstemon hirsutus,,,DQ531111.1,
Penstemon pallidus,,,DQ531141.1,
Penstemon tubaeflorus,,,DQ531184.1,
Penthorum sedoides,L11197.2,EF179063.1,DQ005998.1,
Perideridia americana,,,JQ652471.1,
Perilla frutescens,FJ513160.1,AF315307.1,DQ667246.1,DQ667439.1
Persicaria amphibia,KM360922.1,KC342453.1,JN235087.1,EF653803.1
Persicaria arifolia,EF653770.1,EF653718.1,EF653693.1,EF653796.1
Persicaria bicornis,,EU196925.1,EU196872.1,EU197011.1
Persicaria bungeana,FM883622.1,,HQ843134.1,HQ843158.1
Persicaria careyi,,EU196926.1,EU196873.1,EU197012.1
Persicaria hydropiper,EF653780.1,HM357924.1,JN235083.1,HQ843164.1
Persicaria hydropiperoides,HM850244.1,HM851075.1,EU196884.1,EU197023.1
Persicaria lapathifolia,FM883630.1,HM357925.1,FJ503013.1,HQ843157.1
Persicaria longiseta,FM883631.1,EU196943.1,HQ843135.1,HQ843159.1
Persicaria maculosa,HQ435350.1,EU749345.1,HQ843137.1,EU024781.1
Persicaria orientalis,FM883636.1,GQ434133.1,FJ503012.1,HQ843155.1
Persicaria pensylvanica,FM883637.1,KJ840961.1,FJ154475.1,EF653808.1
Persicaria punctata,AF297143.1,KJ773037.1,EU196911.1,EF653809.1
Persicaria sagittata,AF297141.1,KJ840962.1,DQ006031.1,EF653799.1
Persicaria virginiana,AF297135.1,EF438019.1,EU410358.1,EF653801.1
Petasites hybridus,KM360923.1,,,
Petrorhagia saxifraga,KF724220.1,FJ404857.1,KF737440.1,FJ405006.1
Petunia axillaris,HQ384915.1,,AJ492460.1,AY098702.1
Petunia violacea,,,,
Petunia x,,,,
Phalaris arundinacea,KM360926.1,AF164396.1,KF713258.1,AY589138.1
Phalaris canariensis,KF997405.1,JX438068.1,FJ178782.1,JF951100.1
Phedimus aizoon,KJ570521.1,AB038187.1,JQ954565.1,JQ954572.1
Phedimus spurius,,,AB088616.1,AB089764.1
Phegopteris connectilis,KF186501.1,JF303932.1,,HQ676531.1
Phegopteris hexagonoptera,EF463278.1,,,
Phellodendron amurense,FN599455.1,FJ716737.1,JN226791.1,JN226785.1
Phemeranthus rugospermum,,,,
Philadelphus coronarius,KC737405.1,KF202013.1,KF201880.1,
Philadelphus floridus,,,,
Philadelphus inodorus,KJ773735.1,KF202025.1,,JF321188.1
Philadelphus pubescens,,KF202014.1,KF201881.1,
Phleum pratense,AJ784832.1,DQ786932.1,EU792341.1,DQ353964.1
Phlox biflda,,,,
Phlox divaricata,DQ006116.1,,DQ006029.1,EF433281.1
Phlox drummondii,KJ773736.1,KJ772996.1,JN115041.1,EF433261.1
Phlox glaberrima,,EU628515.1,AF167189.1,EU628454.1
Phlox maculata,,,AF167193.1,
Phlox nivalis,,,AF167198.1,EF433272.1
Phlox paniculata,,,AF167196.1,
Phlox pilosa,,,AF167243.1,EF433257.1
Phlox subulata,,,AF167178.1,EF433270.1
Phragmites australis,KF537347.1,KP056987.1,KP057065.1,KC989616.1
Phryma leptostachya,AF190439.1,AJ429341.1,DQ533822.1,DQ532485.1
Phyla cuneifolia,,,,HM216657.1
Phyla lanceolata,AF206810.1,HM853861.1,,HM216659.1
Physalis alkekengi,U08617.1,AM503827.2,AM503883.2,DQ180420.1
Physalis angulata,KC551924.1,EF438950.1,AY665875.1,
Physalis grisea,,,,
Physalis heterophylla,HQ590207.1,HQ593385.1,AY665907.1,EU581043.1
Physalis lanceolata,,,AY665899.1,
Physalis philadelphica,,EF438889.1,AY665871.1,EU581045.1
Physalis pubescens,KJ773744.1,,AY665917.1,
Physalis pumila,,,AY665909.1,
Physalis subglabrata,,EU128756.1,,
Physalis virginiana,,,AY665911.1,
Physaria gracilis,,,DQ310523.1,
Physocarpus opulifolius,KM360932.1,,JQ776896.1,JQ034191.1
Physostegia angustifolia,,,,EF546865.1
Physostegia virginiana,L14405.1,HQ911437.1,,EF546883.1
Phytolacca americana,M62567.1,,FJ980404.1,
Picea abies,JQ512566.1,EF440492.1,,JX508515.1
Picea glauca,EF440579.1,AF133926.1,AF136621.1,JX508525.1
Picea mariana,EF440585.1,,AF136616.1,JX508534.1
Picris hieracioides,KF196021.1,JN896100.1,KC121948.1,KF196065.1
Pilea fontana,HQ590208.1,,,
Pilea pumila,U00438.1,KF138046.1,KF137904.1,KF138388.1
Pinus banksiana,EF440595.1,EF440517.1,,AB081125.1
Pinus nigra,DQ353733.1,AB084498.1,HE602416.1,FJ490804.1
Pinus pungens,AB063375.1,AB080932.1,,AB081145.1
Pinus resinosa,AY497252.1,AB080945.1,AF037002.1,AB081122.1
Pinus rigida,AY724757.1,,KC583358.1,AB081146.1
Pinus strobus,JQ512591.1,AY497255.1,AF036982.1,JN040954.1
Pinus sylvestris,JF701589.1,AB097781.1,AF037003.1,AF543753.1
Pinus virginiana,JQ512596.1,AB080923.1,AF037015.1,AB081126.1
Piptochaetium avenaceum,KJ773751.1,FN434241.1,FN434507.1,GU254981.1
Pistia stratiotes,KC466591.1,EU886585.1,,AY054706.1
Pisum sativum,X03853.1,AY386961.2,DQ311988.1,AY839473.1
Plagiobothrys hispidulus,,,,
Plantago aristata,KJ773756.1,KJ773013.1,AY101911.1,AY101963.1
Plantago cordata,,,,
Plantago lanceolata,L36454.1,EU718056.1,AJ548984.1,AY101952.1
Plantago major,HM850266.1,EU749326.1,AY101861.1,AY101917.1
Plantago media,AJ389596.1,AY667474.1,AY101865.1,AY101920.1
Plantago patagonica,,,AY101912.1,AY101964.1
Plantago psyllium,,,,
Plantago rugelii,AJ389597.1,DQ317070.1,AY101863.1,AY101919.1
Plantago virginica,KJ773757.1,KJ773014.1,AB281170.1,
Platanthera blephariglottis,KJ773758.1,,,
Platanthera ciliaris,AF074215.1,AF263678.1,,
Platanthera clavellata,,,,
Platanthera dilatata,,,EF025527.1,
Platanthera flava,,,,
Platanthera hookeri,,,,
Platanthera huronensis,KJ841476.1,KJ840966.1,,
Platanthera lacera,,,,
Platanthera leucophaea,,,,
Platanthera orbiculata,,,,
Platanthera psycodes,,,,
Platanus occidentalis,AF081073.1,,AM492105.1,AY145358.1
Pluchea odorata,KJ773762.1,KJ773018.1,,
Poa alsodes,HQ590210.1,HQ593386.1,EU792374.1,DQ353981.1
Poa annua,FN870404.1,FN908068.1,KJ599003.1,JN030969.1
Poa arida,,,,AY589126.1
Poa bulbosa,HE963601.1,AM234594.1,EU792388.1,AY589127.1
Poa chapmaniana,,,JF904816.1,
Poa compressa,EU676942.1,KJ529347.1,EU792395.1,AY589128.1
Poa languida,,,,
Poa nemoralis,KJ841479.1,JN894298.1,GQ324529.1,AY589135.1
Poa paludigena,,,,
Poa palustris,KJ841480.1,,EU792396.1,AY589137.1
Poa pratensis,KM360936.1,,AY237834.1,AY589140.1
Poa sylvestris,,,EU792375.1,DQ353980.1
Poa trivialis,HM850270.1,HM850517.1,KJ598983.1,AY589148.1
Poa wolfli,,,,
Podophyllum peltatum,AF093716.1,AB069843.1,AF328964.1,KC523390.1
Pogonia ophioglossoides,EU498136.1,AJ310055.1,EU498161.1,EU498225.1
Poinsettia dentata,,,,
Polanisia dodecandra,AY167984.1,AY483234.1,KF923187.1,
Polanisia trachysperma,,,,
Polemonium reptans,L11687.1,,DQ320805.1,
Polygala cruciata,L01945.2,,GQ888946.1,AM234317.1
Polygala incarnata,KJ773767.1,,GQ888970.1,GQ888832.1
Polygala polygama,KJ773772.1,KJ773028.1,KF981794.1,GQ888850.1
Polygala sanguinea,KF724314.1,,GQ889012.1,GQ888856.1
Polygala senega,AM234189.1,EU604034.1,AJ812649.1,AF366992.1
Polygala verticillata,,,GQ889039.1,GQ888869.1
Polygaloides paucifolia,,,,
Polygonatum biflorum,KJ745628.1,KJ745725.1,,
Polygonatum pubescens,KJ745534.1,KJ745722.1,,KF977457.1
Polygonella articulata,EF653760.1,EF653709.1,EF653683.1,EF653786.1
Polygonum achoreum,,,GQ339956.1,
Polygonum arenastrum,HE963604.1,JN895284.1,GQ339963.1,
Polygonum aviculare,AF297127.1,HM357913.1,KJ025070.1,HQ843161.1
Polygonum buxiforme,,,GQ339989.1,
Polygonum erectum,AF297128.1,GQ206203.1,GQ206260.1,
Polygonum ramosissimum,,,GQ340038.1,
Polygonum tenue,,,,
Polymnia canadensis,GU817781.1,AY215847.1,AF465876.1,GU818051.1
Polypodium virginianum,KF186527.1,,,
Polystichum acrostichoides,AF537235.1,,,EF177286.1
Polytaenia nuttallii,,KF620098.1,KF619728.1,
Pontederia cordata,U41594.1,AF434872.1,,AJ387743.1
Populus alba,HM850277.1,KF940864.1,HE602432.1,
Populus balsamifera,AJ418826.1,,,JN873532.1
Populus deltoides,AJ418829.1,KF940868.1,X64764.1,AY757053.1
Populus grandidentata,KF940810.1,KF940870.1,,
Populus heterophylla,,,,
Populus nigra,KM360940.1,,JQ898641.1,FJ490818.1
Populus tremuloides,AF206812.1,KF940885.1,,AY757054.1
Populus x,,,,
Portulaca oleracea,HQ621340.1,AY875349.1,KM051437.1,
Potamogeton amplifolius,L08765.1,,EF526406.1,DQ786424.1
Potamogeton berchtoldii,FJ956852.1,JN894618.1,GQ247414.1,AY714274.1
Potamogeton crispus,U80722.1,JN894781.1,EF526368.1,DQ786426.1
Potamogeton diversifolius,KJ773785.1,AF542579.1,FJ151205.1,DQ786427.1
Potamogeton epihydrus,,,FJ151207.1,
Potamogeton foliosus,FJ956851.1,,GQ247412.1,AY714282.1
Potamogeton friesii,JN891792.1,JN894784.1,KF270908.1,
Potamogeton gramineus,AB196943.1,,HQ263501.1,EF432100.1
Potamogeton illinoensis,,,,DQ786432.1
Potamogeton natans,AB196946.1,,EF526387.1,AB744018.1
Potamogeton nodosus,HM850281.1,HM851047.1,HQ167660.1,DQ786435.1
Potamogeton praelongus,AB196952.1,,HQ167662.1,EF432082.1
Potamogeton pulcher,,,EF526400.1,
Potamogeton pusillus,HM850283.1,JN894666.1,EF526403.1,AY714278.1
Potamogeton richardsonii,U03730.1,,EU596954.1,DQ786441.1
Potamogeton robbinsii,U80725.1,,EF526390.1,DQ786442.1
Potamogeton strictifolius,,,KF270917.1,DQ786444.1
Potamogeton vaseyi,,,GQ247437.1,
Potamogeton x,,,,
Potamogeton zosteriformis,U80726.1,,EF526408.1,
Potentilla argentea,KF997453.1,KJ840973.1,FN430808.1,FN561750.1
Potentilla inclinata,,,,GQ384658.1
Potentilla indica,KM360759.1,,FN430828.1,AY634763.1
Potentilla intermedia,,,,
Potentilla norvegica,JX848530.1,KM212096.1,FN430817.1,FN561730.1
Potentilla pensylvanica,JX848531.1,EU025932.1,FN430804.1,FN556416.1
Potentilla recta,HQ590222.1,HQ593398.1,FN430784.1,FN556419.1
Potentilla reptans,HM850287.1,KJ204526.1,FN430815.1,FN561728.1
Potentilla rivalis,,,,FR872992.1
Potentilla simplex,,,,GQ384717.1
Potentilla tridentata,KM212156.1,KM212100.1,U90791.1,AJ512236.1
Poterium sanguisorba,HM850336.1,,AY635039.1,AY634773.1
Prionopsis ciliata,,,JQ011997.1,
Proboscidea louisianica,L01946.2,AF531809.1,JN686497.1,JQ322786.1
Proserpinaca palustris,KJ773786.1,EF179061.1,EF178787.1,
Prunella vulgaris,KM360941.1,FJ395426.1,JQ669130.1,DQ667508.1
Prunus americana,HQ235355.1,HQ235073.1,AF179489.1,JQ034185.1
Prunus angustifolia,KJ773789.1,HQ235086.1,AF179490.1,AY176668.1
Prunus armeniaca,KF154869.1,KF154784.1,HF969271.1,AM282691.1
Prunus avium,KP769034.1,FJ899109.1,FJ899097.1,FJ899123.1
Prunus cerasus,HQ235416.1,FJ899111.1,FJ899099.1,FJ899125.1
Prunus domestica,L01947.2,FJ899110.1,FJ899098.1,GU129955.1
Prunus hortulana,HQ235450.1,HQ235342.1,AF318716.1,AF318669.1
Prunus mahaleb,KP769086.1,,AF318747.1,AF318700.1
Prunus nigra,HQ235489.1,,AF179491.1,EU606181.1
Prunus padus,AF411485.1,GU363752.1,AF179527.1,AF318679.1
Prunus pensylvanica,KP769012.1,HQ235221.1,EU669090.1,HQ244089.1
Prunus persica,KF154879.1,,KC603741.1,JN102177.1
Prunus pumila,HQ235526.1,HQ235245.1,AF318732.1,AF318685.1
Prunus serotina,DQ006123.1,HQ593401.1,HM453949.1,JX414453.1
Prunus subhirtella,AY052514.1,KF154807.1,AF179520.1,AF429917.1
Prunus tomentosa,AF411495.1,KF154809.1,AF179500.1,AM282689.1
Prunus virginiana,HQ590227.1,,EU669101.1,AF348561.1
Pseudognaphalium macounii,,,JQ895523.1,
Pseudognaphalium obtusifolium,KJ773793.1,KJ773046.1,JX524595.1,
Psoralidium tenuiflorum,,EF549987.1,EF517890.1,EF543400.1
Ptelea trifoliata,KJ773794.1,FJ716736.1,,EU853813.1
Pteridium aquilinum,AB917063.1,EU223824.1,AF183568.1,AY300044.1
Puccinellia distans,L14621.1,HE586075.1,AF532934.1,AF533024.1
Pueraria montana,EU717259.1,AY582972.1,KM258444.1,AB685325.1
Pycnanthemum muticum,,AY943529.1,AY943494.1,
Pycnanthemum tenuifolium,,,GU381423.1,GU381589.1
Pycnanthemum verticillatum,,,,
Pycnanthemum virginianum,,,DQ667319.1,DQ667507.1
Pyrola americana,,,AF133737.1,FJ378614.1
Pyrola asarifolia,KJ841503.1,KJ840976.1,KF963970.1,FJ378611.1
Pyrola chlorantha,,,KF963971.1,FJ378615.1
Pyrola elliptica,HQ590228.1,HQ593404.1,AF133740.1,FJ378609.1
Pyrus betulaefolia,JQ391378.1,KP089257.1,EU150118.1,KF771402.1
Pyrus calleryana,JQ391379.1,KP093799.1,KP093146.1,JN676072.1
Pyrus communis,JQ391382.1,DQ860473.1,AB441755.1,AF348564.1
Pyrus pyrifolia,JQ391390.1,JQ391048.1,FJ810047.1,JQ392324.1
Quercus alba,KF418899.1,EU749360.1,EU646136.1,KF419044.1
Quercus bicolor,KF418901.1,KF419007.1,,HM770026.1
Quercus coccinea,,,,
Quercus ellipsoidalis,LM652996.1,KJ593081.1,,
Quercus imbricaria,,,,
Quercus macrocarpa,KP088812.1,EU749362.1,HE611293.1,
Quercus muhlenbergii,,,,
Quercus palustris,AB125023.1,AB125040.1,AF098417.1,
Quercus rubra,M58391.1,FJ185057.1,AF098418.1,FJ490789.1
Quercus velutina,KJ593653.1,KJ593084.1,EU646142.1,
Quercus x,,,,
Ranunculus abortivus,HQ590231.1,AY954126.1,AY680048.1,
Ranunculus acris,KM360953.1,AY954199.1,AY680167.1,
Ranunculus bulbosus,HM850293.1,AY954188.1,AM503891.2,FJ490812.1
Ranunculus cymbalaria,AY954490.1,AY954237.1,AY680196.1,FJ626544.1
Ranunculus fascicularis,,FM242786.1,FM242850.1,
Ranunculus flabellaris,,,,
Ranunculus gmelinii,KC483842.1,AY954128.1,AY680063.1,
Ranunculus hispidus,EU053920.1,HQ338355.1,HQ338319.1,
Ranunculus longirostris,,,,
Ranunculus pensylvanicus,KJ841512.1,AY954190.1,AY680147.1,
Ranunculus recurvatus,HQ590233.1,AY954175.1,AY680118.1,
Ranunculus repens,HM850298.1,HM565166.1,JN115047.1,JQ041850.1
