taxon,rbcL,matK,ITS,trnL-trnF
Artemisia dracunculus,,HQ593182.1,JX051718.1,KF736819.1
Artemisia frigida,JX848404.1,,HQ019046.1,
Artemisia ludoviciana,JX848405.1,,JX051708.1,JX073787.1
Artemisia serrata,,,JX051706.1,JX073785.1
Artemisia vulgaris,KM360653.1,JN894753.1,KC493070.1,KF736815.1
Aruncus dioicus,U06794.1,JQ041784.1,JQ041766.1,AF348536.1
Asarum canadense,L14290.1,KF408224.1,FJ428645.1,AY689147.1
Asclepias amplexicaulis,KJ773284.1,KJ772559.1,,
Asclepias exaltata,L14390.1,,,
Asclepias incarnata,DQ006053.1,,DQ005967.1,
Asclepias lanuginosa,,,,
Asclepias longifolia,,,AM396889.1,AM295749.1
Asclepias meadii,,,,
Asclepias ovalifolia,,,,
Asclepias perennis,KJ773289.1,KJ772564.1,,
Asclepias purpurascens,,,,
Asclepias speciosa,,,,
Asclepias sullivantii,,,,
Asclepias syriaca,HQ384906.1,HQ384551.1,AM396892.1,HQ412960.1
Asclepias tuberosa,GQ248553.1,GQ248084.1,EF590756.1,AF214158.1
Asclepias verticillata,KJ773290.1,KJ772567.1,,
Asclepias viridiflora,,,,
Asimina triloba,AY743441.1,GQ139711.1,GQ139688.1,AY145353.1
Asparagus officinalis,HQ182417.1,AB646504.1,HM990118.1,
Asperugo procumbens,JQ933228.1,JQ388523.1,JQ388496.1,KF288033.1
Asplenium platyneuron,AF525272.1,,,
Asplenium rhizophyllum,KF186530.1,,,AY300083.1
Astragalus agrestis,JX848457.1,,,
Astragalus canadensis,,AY386875.1,,
Astragalus cicer,KJ746227.1,KM387646.1,JQ685633.1,
Astragalus crassicarpus,,,,
Astragalus distortus,,,,
Astragalus neglectus,,,AF121713.1,
Astragalus tennesseensis,,,,
Athyrium filix-femina,U05908.1,JF303941.1,,HQ676519.1
Atriplex argentea,,,,
Atriplex glabriuscula,JN965283.1,JN894916.1,HM587505.1,
