Boechera stricta,GQ166414.1,
Boehmeria cylindrica,,
Boltonia asteroides,AF046975.1,
Borago offlcinalis,,
Bothriochloa laguroides,DQ005026.1,
Botrychium campestre,,
Botrychium dissectum,,
Botrychium matricariifolium,,
Botrychium multifldum,,
Botrychium simplex,,
Botrychium virginianum,,
Bouteloua curtipendula,EF060131.1,
Bouteloua gracilis,EU144379.1,
Bouteloua hirsuta,EF060187.2,
Brachyelytrum erectum,EU489105.1,
Brasenia schreberi,EF526394.1,
Brassica juncea,FJ980406.1,
Brassica napus,JQ085860.1,
Brassica nigra,AF128102.1,
Brassica rapa,GQ202251.1,
Brickellia eupatorioides,JQ737028.1,
Bromus arvensis,KM077301.1,
Bromus brizaeformis,,
Bromus carinatus,HQ600553.1,
Bromus ciliatus,AY367909.1,
Bromus commutatus,,
Bromus hordeaceus,KM077298.1,
Bromus inermis,KF713194.1,
Bromus kalmii,AY367916.1,
Bromus latiglumis,AY367920.1,
Bromus marginatus,AY367921.1,
Bromus pubescens,AY367927.1,
Bromus racemosus,KM077299.1,
Bromus secalinus,KM077304.1,
Bromus squarrosus,KM077303.1,
Bromus sterilis,KM077296.1,
Bromus tectorum,KF713207.1,
Brunnera macrophylla,GQ285223.1,
Buchloe dactyloides,,
Buchnera americana,KC480306.1,
Buglossoides arvense,FJ763192.1,
Bulbostylis capillaris,,
Butomus umbellatus,JF780965.1,
Cakile edentula,KJ685080.1,
Calamagrostis canadensis,FJ377632.1,
Calamagrostis stricta,FJ377658.1,
Calamovilfa longifolia,GU359300.1,
Calibrachoa parviflora,DQ208030.1,
Calla palustris,,
Callirhoe alcaeoides,,
Callirhoe digitata,AJ304936.1,
Callirhoe involucrata,AY591819.1,
Callirhoe triangulata,,
Callitriche heterophylla,,
Callitriche palustris,,
Calopogon oklahomensis,AF273354.1,
Calopogon tuberosus,AF273395.1,
Caltha palustris,KF233853.1,
Calylophus serrulatus,,
Calyptocarpus vialis,AY303405.1,
Calystegia hederacea,JQ062468.1,
Calystegia sepium,KC528909.1,
Calystegia spithamaea,KC528913.1,
Camassia scilloides,KP008322.1,
Camelina microcarpa,DQ310531.1,
Camelina sativa,KJ623504.1,
Campanula aparinoides,,
Campanula rapunculoides,HQ823434.1,
Campanula rotundifolia,DQ304615.1,
Campanulastrum americanum,,
Campsis radicans,DQ515201.1,
Cannabis sativa,FJ572045.1,
Capsella bursa-pastoris,KJ623531.1,
Cardamine bulbosa,EU819316.1,
Cardamine concatenata,JQ901414.1,
Cardamine diphylla,EU819331.1,
Cardamine douglassii,EU819332.1,
Cardamine hirsuta,KM875624.1,
Cardamine impatiens,AM905720.1,
Cardamine parviflora,DQ268404.1,
Cardamine pensylvanica,DQ268467.1,
Cardamine pratensis,KF988135.1,
Cardaria pubescens,,
Carduus acanthoides,JX867641.1,
Carduus nutans,JX867642.1,
Carex abdita,,
Carex acutiformis,AY278300.1,
Carex aggregata,EU000921.1,
