TRANSECT STRING,
PARQUI,1
POLGVI,30
PRUVIR,2
RHACAT,1
SMIRAC,1
SOLALT,5
SOLFLE,8
>,
    QUAD,11
ACRONYM,COVER
ARITRI,1
CIRARV,1
CIRLUC,5
GERMAC,2
GEUCAN,2
HACVIR,1
HYSPAT,2
LEEVIR,10
POLGVI,18
POTSIS,1
PREALB,2
RHACAT,8
SOLALT,10
VIOSOR,1
ZIZAUR,5
>,
    QUAD,12
ACRONYM,COVER
ALLCER,12
ANDGER,20
ARITRI,4
ASTLAT,8
ASTSAD,4
BROCIL,3
CIRALT,8
CXCEPP,5
CXNORM,5
CXPENS,90
FRAVIR,3
GERMAC,10
GEUCAN,3
HELHIR,40
HYSPAT,20
MONFIS,25
PENDIG,3
PREALB,1
RHACAT,8
RUBFLA,2
RUDSUB,10
SMILAS,2
SOLALT,5
THADIO,10
>,
    QUAD,13
ACRONYM,COVER
ALLCAN,5
ALLCER,10
ARITRI,2
ASTLAT,8
CIRALT,10
CIRLUC,1
CORRAC,2
CXPENS,5
ELYVIR,2
EREHIE,1
ERYYUC,2
EUPPER,5
FRAVIR,2
HELHIR,10
LEEVIR,2
MALSIE,8
OXAEUR,2
PARINT,8
PENDIG,5
PREALB,1
RUBFLA,10
RUDSUB,30
SMIECI,5
SMILAS,3
SMISTE,1
SOLALT,5
THADIO,5
TRIGRA,1
ZIZAUR,2
>,
    QUAD,14
ACRONYM,COVER
AMPBRB,2
ARITRI,1
DIOVIL,15
HACVIR,2
IMPCAP,2
LEEVIR,15
OXYRIG,5
POLGVI,5
POTSIS,2
RANREC,5
RHACAT,8
RUBOCC,2
SMIECI,5
SMISTE,1
SOLALT,20
SOLULM,10
THADIO,2
UVUGRA,5
ZIZAUR,10
>,
    QUAD,15
ACRONYM,COVER
AMPBRB,2
ARIDRA,3
ARITRI,1
ASTLAT,2
ASTMAC,5
ASTSHO,15
CIRLUC,5
CRYCAN,8
CXBLAN,5
EUPMAM,20
EUPPUR,5
HACVIR,1
LEEVIR,25
POLGVI,10
POTSIS,4
SMIECI,2
SOLALT,5
SOLULM,15
THADIO,5
>,
    QUAD,16
ACRONYM,COVER
ALLCAN,2
ASTSHO,6
BIDFRO,2
CAMSCI,4
CXBLAN,1
CXDAVI,6
CXGRAY,5
CXNORM,2
GEUCAN,1
HACVIR,2
HEDPUL,50
HELMAX,10
IMPCAP,1
LEEVIR,20
MENCAN,2
POLGVI,5
PRUVLA,1
RHACAT,5
SOLULM,15
VIOSOR,5
>,
    QUAD,17
ACRONYM,COVER
ARIDRA,3
ARITRI,2
ASTLAT,5
ASTSAD,2
CACATR,2
CIRARV,20
CORTRP,3
CXBLAN,10
EUPPUR,15
EUPRUG,15
HACVIR,1
HELGRO,25
HELHEL,25
MONFIS,20
OXAEUR,5
RUBOCC,3
SMIECI,2
SMILAS,10
SOLALT,5
SOLULM,10
VERFAS,2
VIOSOR,2
>,
    QUAD,18
ACRONYM,COVER
ALLCER,10
ASTNOV,5
CIRALT,2
CORRAC,2
CXGRAN,5
CXTENE,5
FRAPES,5
JUNDUD,2
LYCAME,1
LYTSAL,2
NAPDIO,3
PHLGLI,2
POAPAS,1
PYCVIR,25
RANSEP,2
RHACAT,30
ROSPAL,5
SENPAU,2
SOLALT,40
SOLGRN,5
SPAPEC,10
THADIO,4
TRAOHI,1
>,
    QUAD,19
ACRONYM,COVER
ANDGER,5
CORRAC,5
EUPPUR,40
HELHIR,40
MONFIS,8
OXAEUR,1
PENDIG,3
SMILAS,4
SOLALT,90
TRAOHI,10
>,
    QUAD,20
ACRONYM,COVER
ALLCAN,1
ARIDRA,3
ARITRI,10
DENLAC,1
EUPMAM,10
EUPPUR,60
GEUCAN,15
HACVIR,1
SMIECI,1
SMILAS,2
SOLULM,5
>,
    QUAD,21
ACRONYM,COVER
ALLPET,2
ANEVIR,2
ARIDRA,1
ARITRI,2
DENLAC,8
GEUCAN,2
SMIECI,3
SMIRAC,3
SOLCAE,10
SOLULM,25
ZIZAUR,5
>,
    QUAD,22
ACRONYM,COVER
ARITRI,2
BROPUB,2
CINARU,2
CIRALT,1
CXBLAN,8
EUPPUR,8
FESOBT,1
FRAVIR,1
HELHIR,10
OXAEUR,1
PRUSER,2
RHURAD,1
RUBFLA,5
SMIECI,6
SOLGRN,2
SOLULM,50
TAROFF,2
>,
    QUAD,23
ACRONYM,COVER
ALLCAN,5
ALLCER,4
ANEVIR,2
ARITRI,20
CXBLAN,8
CXPENS,30
DAUCAR,1
FRAVIR,2
HELHIR,45
HYSPAT,5
MONFIS,2
PENDIG,15
PERAME,3
POACOM,8
POTSIS,2
RHACAT,20
RUBFLA,10
RUDSUB,10
SMIECI,8
SOLALT,5
SOLULM,40
TAROFF,2
THADIO,6
TRIPER,3
VITRIP,15
