TRANSECT STRING,
ASTLAT,10
CORRAC,2
CXNORM,2
CXPENS,15
GEUCAN,5
HELHIR,15
HYSPAT,3
MONFIS,10
POLGVI,1
RHACAT,10
RHAFRA,5
RUBFLA,25
RUBOCC,25
SOLALT,5
THADAD,5
VICAME,10
ZIZAUR,5
>,
    QUAD,13
ACRONYM,COVER
ALLCER,5
ALLTRT,1
ARITRI,5
ASTLAT,5
HELHIR,50
MALSIE,5
RUBFLA,10
RUDSUB,40
SMIECI,2
SMILAS,3
SMISTE,2
SOLALT,5
TRIGRA,1
TRIPER,10
>,
    QUAD,14
ACRONYM,COVER
AMPBRB,10
ARITRI,2
ASTLAT,15
ASTSAD,10
ASTSHO,2
CINARU,1
DIOVIL,10
OXYRIG,5
POLGVI,20
POTSIS,8
RANREC,2
RHACAT,40
SMILAS,2
SMISTE,2
SOLALT,50
SOLULM,5
ZIZAUR,2
>,
    QUAD,15
ACRONYM,COVER
ASTSHO,8
BROPUB,5
CIRLUC,5
EUPMAM,75
LEEVIR,5
OXYRIG,5
POLGVI,10
POTSIS,10
SOLALT,15
SOLULM,2
>,
    QUAD,16
ACRONYM,COVER
AGRPER,1
ALLCAN,1
ASTSHO,5
BIDFRO,5
CARCOR,5
CXDAVI,2
CXGRAY,10
CXBLAN,1
CXNORM,1
CXPENS,40
MENCAN,5
PANIMP,3
POLPUN,2
POTSIS,5
RHACAT,30
RHAFRA,1
>,
    QUAD,17
ACRONYM,COVER
ALLCER,3
ASTSAD,3
EUPPUR,10
HACVIR,20
HELHEL,30
OXAEUR,5
RUBOCC,60
SMIECI,4
TRAOHI,2
VERFAS,2
VIOSOR,5
>,
    QUAD,18
ACRONYM,COVER
ALLCER,3
CORRAC,5
FRAPES,5
MALSIE,2
RHACAT,100
ROSPAL,5
SOLALT,5
SPAPEC,2
>,
    QUAD,19
ACRONYM,COVER
ERIANS,2
EUPMAM,10
HELHIR,50
MONFIS,10
RATPIN,5
RHACAT,15
SMILAS,3
SMISTE,2
SOLALT,8
TRAOHI,2
VICAME,5
>,
    QUAD,20
ACRONYM,COVER
ALLCAN,1
ARIDRA,2
ARITRI,2
BROPUB,10
CXBLAN,1
EUPPUR,50
POLGVI,2
RHACAT,10
RUBFLA,15
SMILAS,1
SOLALT,8
SOLULM,20
>,
    QUAD,21
ACRONYM,COVER
ARITRI,1
ASTSHO,10
GEUCAN,2
OSTVIR,20
RHAFRA,5
RUBFLA,15
SILSTE,5
SMIECI,1
SMIRAC,2
SOLCAE,5
SOLULM,20
ZIZAUR,3
>,
    QUAD,22
ACRONYM,COVER
AQUCAN,2
ARITRI,10
ASTLAT,1
ASTMAC,5
BROPUB,2
CIRALT,3
CIRLUC,5
EUPPUR,5
EUPRUG,2
FESOBT,2
GEUCAN,2
HERMAX,1
POACOM,1
RHACAT,1
RHURAD,1
RUBOCC,70
SOLALT,2
SOLULM,2
VIOSOR,2
>,
    QUAD,23
ACRONYM,COVER
ALLCER,2
ANEVIR,1
ARITRI,5
CORRAC,20
CXCEPP,2
DAUCAR,2
FRAPES,8
FRAVIR,2
HELHIR,20
HYSPAT,2
MALSIE,1
MONFIS,8
OENBIE,1
OXAEUR,1
PENDIG,1
POACOM,2
RHACAT,2
RHAFRA,4
RUBFLA,50
SISANG,2
SMIRAC,1
SOLALT,10
SOLULM,10
TAROFF,1
VIBPRU,3
VITRIP,5
ZIZAUR,5
