TRANSECT STRING,
PREALB,10
PRUSER,1
RHACAT,5
SMISTE,2
SOLALT,5
SOLULM,5
TRIPER,40
ZIZAUR,20
>,
    QUAD,12
ACRONYM,COVER
ALLCAN,5
ALLCER,15
ARITRI,15
CXCEPP,2
CXCRIS,20
CXPENS,40
EUPMAM,10
GERMAC,5
HELSTR,100
MONFIS,3
PREALB,2
RHACAT,5
RUBFLA,3
RUDSUB,15
SMIECI,10
TAROFF,3
THADAD,15
>,
    QUAD,13
ACRONYM,COVER
ALLCER,5
ARITRI,10
ASTLAT,10
CAMSCI,2
CXBLAN,2
CXPENS,5
EUPPUR,10
FRAVIR,2
GENFLA,3
GERMAC,4
GEUCAN,3
HELSTR,90
MALSIE,1
PARINT,2
PREALB,5
RUDSUB,30
SMIECI,5
SMILAS,5
SOLALT,10
THAREV,10
>,
    QUAD,14
ACRONYM,COVER
AMPBRB,5
ARIDRA,15
ARITRI,15
ASTMAC,10
ASTSAS,5
CINARU,2
DIOVIL,30
EUPRUG,30
LEEVIR,1
OXYRIG,5
POLGVI,10
POTSIS,5
RUDSUB,20
SANCAD,5
SOLALT,20
SOLULM,20
THAREV,10
>,
    QUAD,15
ACRONYM,COVER
ALLCAN,3
AMPBRB,10
ARIDRA,10
ARITRI,5
ASTMAC,15
ASTSHO,10
CAMSCI,2
CINARU,2
EUPMAM,25
EUPPUR,15
EUPRUG,25
GEUCAN,5
LEEVIR,2
MONFIS,8
POTSIS,12
SMIECI,5
SOLJUN,5
SOLULM,30
THADAD,15
THAREV,5
>,
    QUAD,16
ACRONYM,COVER
ALLCAN,5
ARIDRA,2
CAMSCI,7
CXDAVI,20
EUPRUG,20
GEUCAN,2
LEEVIR,100
LITLAT,5
OXAEUR,1
POLGVI,1
RANHIS,1
SMIECI,1
SOLULM,15
VIOSOR,10
>,
    QUAD,17
ACRONYM,COVER
ARIDRA,4
ARITRI,8
EUPPUR,15
EUPRUG,80
GEUCAN,2
HELHEL,35
SMILAS,15
SMISTE,3
SOLULM,5
TRAOHI,2
>,
    QUAD,18
ACRONYM,COVER
ALLCER,10
ARIDRA,5
ASTNOV,8
BIDFRO,2
CXTENE,5
CXWOOD,5
ELYVIR,5
EUPPER,5
FRAPES,15
GEUCAN,5
HELGRO,50
IMPCAP,3
LILMIC,6
LYCAME,8
MUHMEX,5
OXYRIG,2
PHLGLI,5
PYCVIR,2
RANSEP,5
ROSBLA,2
RUDSUB,5
SOLALT,7
SOLGRG,10
SPAPEC,20
TRAOHI,8
VERFAS,8
>,
    QUAD,19
ACRONYM,COVER
ANDGER,25
EUPMAM,5
EUPPUR,5
HELSTR,100
PANIMP,2
SMILAS,5
SMISTE,5
SOLALT,10
TRAOHI,30
>,
    QUAD,20
ACRONYM,COVER
ARIDRA,15
ARITRI,10
BROPUB,5
CIRALT,1
DENLAC,1
EUPPUR,60
GERMAC,2
OSTVIR,1
OXAEUR,1
SMIECI,2
SMISTE,5
SOLULM,5
>,
    QUAD,21
ACRONYM,COVER
ARIDRA,3
ARITRI,5
ASTSHO,10
BRAERE,2
BROPUB,2
CIRLUC,5
DENLAC,2
EUPPUR,10
SMIECI,2
SMIRAC,2
SOLCAE,10
SOLULM,25
ZIZAUR,2
>,
    QUAD,22
ACRONYM,COVER
ARITRI,15
ASTSAD,5
CIRALT,5
CIRLUC,2
CXBLAN,3
EUPPUR,15
EUPRUG,5
GEUCAN,5
HELSTR,25
JUNTEN,5
LITLAT,20
OXAEUR,2
PANLAT,5
PLARUG,5
PRUSER,1
SMILAS,5
SMISTE,2
SOLGRG,2
SOLULM,30
TAROFF,2
>,
    QUAD,23
ACRONYM,COVER
ARITRI,20
CORTRP,5
CXBLAN,2
CXCRIS,5
CXPENS,50
FRAVIR,2
HELSTR,40
MONFIS,5
PERAME,2
POTSIS,5
RHACAT,2
RUBFLA,10
RUDSUB,50
SMILAS,2
SMISTE,2
SOLULM,15
TAROFF,2
THADAD,2
TRIAUA,5
TRIPER,2
VITRIP,3
ZIZAUR,5
